"ID","HHINC","AGE","GEND","RaceW","weight"
28,"Other","Other","Other","Others",1
29,"Other","Other","female","Others",1
42,"150K","55 to 64","Other","Others",1
73,"Other","Other","Other","Others",1
81,"Other","Other","Other","Others",1
87,"Other","Other","Other","Others",1
101,"Other","Other","Other","Others",1
110,"Other","Other","Other","Others",1
113,"Other","Other","Other","Others",1
123,"Other","Other","Other","Others",1
133,"50K","25 to 34","Other","Others",1
177,"Other","55 to 64","Other","Others",1
208,"50K","35 to 44","Other","White",1
211,"Other","Other","Other","White",1
223,"Other","Other","Other","Others",1
281,"Other","Other","female","White",1
283,"Other","Other","Other","Others",1
304,"Other","Other","Other","Others",1
306,"Other","Other","female","Others",1
352,"Other","Other","Other","Others",1
396,"50K","25 to 34","Other","White",1
425,"150plus","Other","female","White",1
429,"50K","45 to 54","Other","Others",1
437,"Other","Other","Other","Others",1
440,"Other","Other","Other","Others",1
448,"150plus","25 to 34","Other","White",1
478,"Other","Other","male","White",1
502,"Other","Other","Other","Others",1
516,"Other","Other","Other","Others",1
545,"Other","Other","Other","Others",1
565,"50K","35 to 44","Other","White",1
576,"100K","25 to 34","Other","Others",1
590,"50K","25 to 34","Other","White",1
