"ID","HHINC","AGE","GEND","RaceW","weight"
1,"150plus","25 to 34","male","White",0.279839062579693
2,"150plus","25 to 34","male","White",0.279839062579693
4,"150plus","35 to 44","male","White",0.419663792111369
5,"50K","25 to 34","male","Others",3.17917591357485
7,"150K","35 to 44","female","White",0.816929685293377
8,"150K","45 to 54","female","White",0.983397202115221
9,"100K","35 to 44","male","White",0.460711489133606
11,"25K","less than 25","male","White",2.17335873336063
12,"50K","25 to 34","male","Others",3.17917591357485
13,"150K","25 to 34","female","White",0.544742819426637
14,"150plus","45 to 54","female","White",1.0229979482017
15,"50K","45 to 54","female","White",4.90555747880557
16,"50K","35 to 44","female","White",4.07515449375831
17,"150plus","55 to 64","male","White",0.369885643465045
18,"50K","25 to 34","male","Others",3.17917591357485
19,"150plus","45 to 54","female","White",1.0229979482017
20,"150plus","25 to 34","female","White",0.566679247584197
21,"150plus","55 to 64","male","White",0.369885643465045
23,"50K","55 to 64","female","White",3.59178268527691
24,"150K","55 to 64","female","White",0.720030100262372
25,"100K","45 to 54","male","White",0.554591658930378
26,"150plus","35 to 44","male","White",0.419663792111369
27,"150plus","35 to 44","male","Others",0.994246604914863
30,"150K","45 to 54","male","White",0.485623838099925
31,"75K","35 to 44","female","White",1.04320001421033
32,"150K","35 to 44","male","White",0.403418403445337
33,"75K","35 to 44","female","White",1.04320001421033
34,"150K","25 to 34","female","White",0.544742819426637
35,"150K","35 to 44","male","White",0.403418403445337
36,"75K","65 plus","male","Others",2.33199943932674
37,"150plus","35 to 44","male","White",0.419663792111369
38,"75K","35 to 44","female","White",1.04320001421033
39,"150K","65 plus","male","White",0.77081990133316
40,"75K","65 plus","male","White",0.98431890345077
41,"150K","55 to 64","female","White",0.720030100262372
43,"150plus","55 to 64","male","White",0.369885643465045
45,"150plus","45 to 54","male","White",0.505179584511214
46,"25K","25 to 34","male","Others",1.36068253229522
47,"75K","55 to 64","female","Others",2.17834255084249
48,"100K","55 to 64","female","Others",1.94812403548805
49,"150K","55 to 64","female","White",0.720030100262372
50,"150plus","45 to 54","male","Others",1.19684637134309
51,"25K","25 to 34","female","White",1.1630360186745
52,"50K","65 plus","female","White",5.0000181375018
53,"75K","45 to 54","male","Others",1.46918173261234
54,"75K","55 to 64","male","White",0.454050948848658
55,"150K","35 to 44","female","White",0.816929685293377
56,"25K","25 to 34","male","Others",1.36068253229522
57,"150plus","65 plus","male","White",0.801860302023178
58,"150K","55 to 64","female","White",0.720030100262372
59,"25K","25 to 34","male","White",0.57433355923967
60,"75K","35 to 44","male","Others",1.22048157944744
61,"150K","45 to 54","male","White",0.485623838099925
62,"150plus","25 to 34","male","White",0.279839062579693
63,"150K","45 to 54","female","White",0.983397202115221
64,"100K","25 to 34","male","White",0.307210375691951
