"StartDate","EndDate","Status","IPAddress","Progress","Duration","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","LOIYES","RESID","AGE18","CANBIKE","ROUND_TCIRC","ROUND_ROUND","ROUND_MINIR","ROUND_UTURN","ROUND_DK","ROUND_DO_TCIRC","ROUND_DO_ROUND","ROUND_DO_MINIR","ROUND_DO_UTURN","ROUND_DO_DK","MODEUSE1_WALK","MODEUSE1_BIKE","MODEUSE1_DRIV","MODEUSE1_PASS","MODEUSE1_TRAN","MODEUSE2_WALK","MODEUSE2_BIKE","MODEUSE2_DRIV","MODEUSE2_PASS","MODEUSE2_TRAN","MODEROUND_WALK","MODEROUND_BIKE","MODEROUND_DRIV","MODEROUTE_WALK","MODEROUTE_BIKE","MODEROUTE_DRIV","ROUNDMODE","E02","E02_DO_1","E02_DO_2","E08","E08_DO_1","E08_DO_2","E11","E11_DO_1","E11_DO_2","E12","E12_DO_1","E12_DO_2","E17","E17_DO_1","E17_DO_2","E20","E20_DO_1","E20_DO_2","E01","E01_DO_1","E01_DO_2","E03","E03_DO_1","E03_DO_2","E10","E10_DO_1","E10_DO_2","E13","E13_DO_1","E13_DO_2","E14","E14_DO_1","E14_DO_2","E18","E18_DO_1","E18_DO_2","E04","E04_DO_1","E04_DO_2","E07","E07_DO_1","E07_DO_2","E09","E09_DO_1","E09_DO_2","E16","E16_DO_1","E16_DO_2","E19","E19_DO_1","E19_DO_2","E22","E22_DO_1","E22_DO_2","SUPCOMFALL","SUPCOMF_ENTR","SUPCOMF_CIRC","SUPCOMF_EXIT","SUPCOMF_SIDE","SUPCOMF_CROS","SUPTH1","LPOSTH","DRCOMFALL","DRCOMF_ENTR","DRCOMF_CIRC","DRCOMF_EXIT","DRBIKEPOS","CRASH_HIT","CRASH_NHIT","CRASH_NO","CRLOC_ENTR","CRLOC_CIRCENTR","CRLOC_CIRCEXIT","CRLOC_EXIT","CRLOC_SIDE","CRLOC_CROS","CRLOC_OTHR","CRLOC_TEXT","CRCOMM","BTRANS","BREC","BMORE","BWHYY_EXER","BWHYY_OUTS","BWHYY_ENVR","BWHYY_COST","BWHYY_PARK","BWHYY_FAST","BWHYY_OTHR","BWHYY_TEXT","BWHYY_DO_EXER","BWHYY_DO_OUTS","BWHYY_DO_ENVR","BWHYY_DO_COST","BWHYY_DO_PARK","BWHYY_DO_FAST","BWHYY_DO_OTHR","BWHYN_SAFC","BWHYN_SAFT","BWHYN_NOBI","BWHYN_VEHI","BWHYN_WEAT","BWHYN_DIST","BWHYN_BFEW","BWHYN_CARY","BWHYN_OMOD","BWHYN_OTHR","BWHYN_TEXT","BWHYN_DO_SAFC","BWHYN_DO_SAFT","BWHYN_DO_NOBI","BWHYN_DO_VEHI","BWHYN_DO_WEAT","BWHYN_DO_DIST","BWHYN_DO_BFEW","BWHYN_DO_CARY","BWHYN_DO_OMOD","BWHYN_DO_OTHR","BC_TRAIL","BC_RESID1","BC_RESID2","BC_MAJOR1","BC_MAJOR2","BC_MAJOR3","ATT_WALK","ATT_BIKE","ATT_DRIVE","ATT_BIKESAFE","ATT_DRIVESAFE","HELMET","SEATBELT","HLOC_CIT","HLOC_STA","HLOC_ZIP","HHINC","BIKES","CARS","ADULT","CHILD","AGE","GEND","GEND_TEXT","RACE_WHIT","RACE_HISP","RACE_ASIA","RACE_BLAC","RACE_AIAN","RACE_NHPI","RACE_SD","RACE_NA","RACE_TEXT","EDUC","STUD","WORK","COMMENTS","DRAW","EMAIL","EB1","EB2","EB3","EB1_DO_E08","EB1_DO_E20","EB1_DO_E02","EB1_DO_E17","EB1_DO_E11","EB1_DO_E12","EB2_DO_E10","EB2_DO_E03","EB2_DO_E18","EB2_DO_E13","EB2_DO_E14","EB2_DO_E01","EB3_DO_E22","EB3_DO_E19","EB3_DO_E09","EB3_DO_E16","EB3_DO_E04","EB3_DO_E07","S_DO_S20","S_DO_S21","S_DO_QDRIVE2","S_DO_S16","S_DO_S17","S_DO_SUPTH1","S_DO_S18","S_DO_DRBIKEPOS","S_DO_S19","S_DO_SUPCOMF","S_DO_S12","S_DO_S13","S_DO_SUPCOMFALL","S_DO_QSUPBIKE1","S_DO_S14","S_DO_QDRIVE1","S_DO_QSUPBIKE2","S_DO_S15","S_DO_S10","S_DO_S11","S_DO_QSUP","S_DO_S09","S_DO_LPOSTH","S_DO_DRCOMFALL","S_DO_S05","S_DO_S06","S_DO_S07","S_DO_S08","S_DO_S01","S_DO_DRCOMF","S_DO_S02","S_DO_S03","S_DO_S04","btype"
2020-08-15 14:03:04,2020-08-15 14:20:02,0,NA,100,1018,1,2020-08-15 14:20:02,"R_xfL1ZsUb7bNepiN",NA,NA,NA,NA,NA,NA,"anonymous","EN","Accept","Yes","Yes","Able_K",FALSE,TRUE,FALSE,FALSE,FALSE,1,2,4,3,5,"1-3 days per month","Never","1-3 days per month","1-3 days per month","Never","4-6 days per week","Never","1-3 days per week","1-3 days per month","4-6 days per week","Sometimes",NA,"Sometimes","Yes_Prefer",NA,"Yes_AvoidAlt","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Left","Right","2","Left","Right","1","Left","Right","1","Right","Left","2","Left","Right","1","Left","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat uncomfortable","Somewhat uncomfortable","Very uncomfortable","Somewhat uncomfortable","Somewhat comfortable","Somewhat uncomfortable","TravelLane","Center","Somewhat uncomfortable","Somewhat comfortable","Somewhat uncomfortable","Somewhat uncomfortable","Center",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"In the last year","In the last year","Somewhat agree",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,1,3,5,2,4,6,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"I don't like my current bike",6,7,9,3,5,2,1,4,8,10,"Very comfortable","Somewhat comfortable","Very comfortable","Very uncomfortable","Somewhat uncomfortable","Somewhat comfortable","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree",100,100,NA,"UT","84321","100_149","2","1","1","0","25_34","Female",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"MastUp","No","Yes",NA,"No",NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,1,5,6,3,2,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,12,FALSE,6,TRUE,FALSE,5,3,FALSE,9,TRUE,FALSE,FALSE,FALSE,1,FALSE,8,10,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,"Interested but concerned"
2020-08-15 13:57:08,2020-08-15 14:37:21,0,NA,100,2413,1,2020-08-15 14:37:21,"R_3iwZxAKNIErKvjU",NA,NA,NA,NA,NA,NA,"anonymous","EN","Accept","Yes","Yes","Able_K",TRUE,TRUE,FALSE,FALSE,FALSE,3,2,1,4,5,"1-3 days per week","1-3 days per week","1-3 days per week","4-6 days per week","Never","Almost every day","4-6 days per week","1-3 days per week","4-6 days per week","Less than once a month","Never","Never","Sometimes","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Right","Left","2","Left","Right","1","Left","Right","1","Right","Left","2","Right","Left","2","Right","Left","Somewhat comfortable","Somewhat comfortable","Somewhat uncomfortable","Very comfortable","Somewhat comfortable","Very comfortable","TravelLane","Right","Very comfortable","Somewhat comfortable","Somewhat comfortable","Very comfortable","Right",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"In the last week","In the last week","Strongly agree",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,6,4,5,1,2,3,7,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,1,5,9,2,6,7,3,4,8,10,"Very comfortable","Very comfortable","Very comfortable","Very uncomfortable","Somewhat uncomfortable","Very comfortable","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree",100,100,NA,"OR","97212","075_099","2","1","1","0","55_64","Female",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"MastUp","No","No",NA,"No",NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,3,4,2,FALSE,FALSE,FALSE,TRUE,FALSE,6,FALSE,11,FALSE,5,FALSE,FALSE,4,3,FALSE,8,FALSE,FALSE,FALSE,FALSE,1,FALSE,7,9,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,"Interested but concerned"
2020-08-15 14:37:07,2020-08-15 14:51:48,0,NA,100,881,1,2020-08-15 14:51:49,"R_xzm5hITTi1apWEx",NA,NA,NA,NA,NA,NA,"anonymous","EN","Accept","Yes","Yes","Able_K",FALSE,TRUE,FALSE,FALSE,FALSE,1,2,4,3,5,"4-6 days per week","1-3 days per week","4-6 days per week","1-3 days per week","Never","Almost every day","4-6 days per week","Almost every day","4-6 days per week","1-3 days per month","Never","Never","Sometimes","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Left","Right","2","Left","Right","2","Right","Left","1","Right","Left","2","Left","Right","1","Left","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortable","Somewhat comfortable","SideCrossWalk","Center","Very comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","NotInLane",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"More than 5 years ago","In the last week","Strongly agree",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5,3,6,4,1,2,7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,1,2,8,9,4,6,7,3,5,10,"Very comfortable","Very comfortable","Very comfortable","Very uncomfortable","Somewhat comfortable","Very comfortable","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree",100,100,NA,"OR","97212","075_099","2","1","1","0","55_64","Male",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"MastUp","No","No",NA,"No",NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,1,6,5,3,2,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,6,FALSE,11,FALSE,5,FALSE,FALSE,4,3,FALSE,8,FALSE,FALSE,FALSE,FALSE,1,FALSE,7,9,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,TRUE,"Interested but concerned"
2020-08-17 20:08:56,2020-08-17 20:34:13,1,NA,100,1517,1,2020-08-17 20:34:14,"R_1ieqO7YW4PNaxPP",NA,NA,NA,NA,NA,NA,"preview","EN","Accept","Yes","Yes","Able_K",FALSE,TRUE,FALSE,FALSE,FALSE,4,1,2,3,5,"Less than once a month","Never","Almost every day","1-3 days per week","Never","1-3 days per month","Never","Almost every day","Never","Never","Sometimes",NA,"Always","No",NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Right","Left","1","Right","Left","2","Right","Left","2","Left","Right","1","Right","Left","2","Left","Right","Somewhat comfortable","Somewhat uncomfortable","Somewhat comfortable","Somewhat uncomfortable","Very uncomfortable","Very uncomfortable","TravelLane","Center","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Center",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"In the last 5 years","In the last month","Somewhat disagree",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,6,2,3,5,1,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,7,1,2,4,5,8,9,3,6,10,"Very comfortable","Somewhat uncomfortable","Very comfortable","Very uncomfortable","Somewhat comfortable","Very comfortable","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree",0,100,NA,"UT","84321","010_014","2","3","2","0","25_34","Male",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BachAs","No","Yes",NA,"No",NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,1,3,2,4,FALSE,FALSE,FALSE,FALSE,TRUE,7,FALSE,12,FALSE,6,FALSE,FALSE,5,3,FALSE,9,TRUE,FALSE,FALSE,FALSE,1,FALSE,8,10,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,"Interested but concerned"
2020-08-18 08:04:50,2020-08-18 08:15:20,0,NA,100,630,1,2020-08-18 08:15:20,"R_pLYy0iXJz6aj0J3",NA,NA,NA,NA,NA,NA,"anonymous","EN","Accept","Yes","Yes","Able_K",FALSE,TRUE,FALSE,FALSE,FALSE,3,1,2,4,5,"1-3 days per week","Less than once a month","1-3 days per month","Less than once a month","Never","Almost every day","Less than once a month","1-3 days per week","1-3 days per week","4-6 days per week","Often","Sometimes","Often","No","Yes_AvoidAlt","No","No","2","Left","Right","1","Right","Left","1","Right","Left","2","Right","Left","1","Left","Right","2","Right","Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat comfortable","Very comfortable","Very comfortable","Somewhat comfortable","Somewhat uncomfortable","Somewhat uncomfortable","SideCrossWalk","Center","Somewhat comfortable","Somewhat comfortable","Somewhat uncomfortable","Somewhat uncomfortable","NotInLane",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"In the last year","In the last year","Strongly agree",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,3,6,4,5,2,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,8,1,3,7,6,9,4,2,10,"Very comfortable","Somewhat comfortable","Very comfortable","Very uncomfortable","Very uncomfortable","Somewhat comfortable","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree",90,100,NA,"UT","84321","150_999","2","1","1","0","25_34","Male",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"MastUp","No","Yes",NA,"No",NA,TRUE,FALSE,FALSE,5,2,3,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,7,FALSE,12,FALSE,6,FALSE,FALSE,5,3,FALSE,9,TRUE,FALSE,FALSE,FALSE,1,FALSE,8,10,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,"Interested but concerned"
2020-08-18 11:33:45,2020-08-18 11:42:26,0,NA,100,521,1,2020-08-18 11:42:27,"R_1GHwEzcYhnC1z2o",NA,NA,NA,NA,NA,NA,"anonymous","EN","Accept","Yes","Yes","Able_K",FALSE,TRUE,FALSE,FALSE,FALSE,2,4,3,1,5,"Almost every day","1-3 days per month","4-6 days per week","1-3 days per month","1-3 days per month","Almost every day","1-3 days per week","1-3 days per week","1-3 days per week","4-6 days per week","Often","Often","Often","Yes_Prefer","Yes_Prefer","Yes_Prefer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Left","Right","2","Right","Left","1","Left","Right","2","Right","Left","2","Left","Right","1","Left","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat comfortable","Very comfortable","Somewhat uncomfortable","Very uncomfortable","Very comfortable","Very comfortable","SideCrossWalk","Center","Very comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat uncomfortable","NotInLane",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"In the last week","In the last week","Somewhat agree",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1,4,5,2,6,3,7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,8,1,4,2,9,6,5,7,3,10,"Very comfortable","Very comfortable","Very comfortable","Somewhat uncomfortable","Somewhat comfortable","Somewhat comfortable","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree",0,100,NA,"UT","84321","015_024","2","3","4","0","25_34","Male",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"MastUp","Yes","Yes",NA,"No",NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,4,1,6,2,3,5,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,6,FALSE,11,FALSE,5,FALSE,FALSE,4,3,FALSE,8,FALSE,FALSE,FALSE,FALSE,1,FALSE,7,9,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,"Interested but concerned"
2020-08-18 11:42:15,2020-08-18 12:14:33,0,NA,100,1937,1,2020-08-18 12:14:33,"R_1Fez7xpgNuVigZF",NA,NA,NA,NA,NA,NA,"anonymous","EN","Accept","Yes","Yes","Able_K",FALSE,FALSE,FALSE,TRUE,FALSE,2,1,4,3,5,"4-6 days per week","4-6 days per week","Almost every day","Almost every day","Almost every day","4-6 days per week","4-6 days per week","Almost every day","Almost every day","Almost every day","Always","Always","Always","No","No","No","Yes_MuchMore","2","Right","Left","2","Left","Right","1","Right","Left","2","Left","Right","1","Right","Left","1","Right","Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortable","TravelLane","Center","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Center",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"In the last week","In the last week","Strongly agree",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,3,2,6,4,1,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,5,1,2,6,8,3,7,9,10,"Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortable","Very comfortable","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree",80,70,NA,"CA","90048","150_999","2","1","2","2","35_44","Male",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"MastUp","Yes","Yes",NA,"Yes",NA,TRUE,FALSE,FALSE,6,4,3,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,6,FALSE,11,FALSE,5,FALSE,FALSE,4,3,FALSE,8,FALSE,FALSE,FALSE,FALSE,1,TRUE,7,9,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,"Strong and fearless"
2020-08-18 10:59:44,2020-08-18 13:16:46,0,NA,100,8222,1,2020-08-18 13:16:46,"R_2bZ80pgeOgphpFM",NA,NA,NA,NA,NA,NA,"anonymous","EN","Accept","Yes","Yes","Able_K",FALSE,TRUE,FALSE,FALSE,FALSE,3,2,1,4,5,"Almost every day","Almost every day","1-3 days per month","Less than once a month","Never","1-3 days per week","Almost every day","Less than once a month","Less than once a month","1-3 days per week","Never","Never","Never","No","No","Yes_Prefer","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Left","Right","2","Left","Right","1","Right","Left","2","Right","Left","1","Left","Right","1","Left","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very comfortable","Very comfortable","Very comfortable","Somewhat comfortable","Somewhat uncomfortable","Somewhat comfortable","TravelLane","Center","Somewhat comfortable","Very comfortable","Very comfortable","Somewhat comfortable","Center",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"In the last week","In the last month","Somewhat agree",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,1,5,4,2,6,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,6,8,4,2,7,9,3,1,5,10,"Very comfortable","Very comfortable","Very comfortable","Somewhat comfortable","Somewhat comfortable","Very comfortable","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree",80,100,NA,"DC","20003","050_074","1","0","0","0","25_34","Female",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"MastUp","No","Yes",NA,"Yes",NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,2,5,6,3,4,1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,6,FALSE,12,FALSE,5,FALSE,FALSE,4,3,FALSE,8,FALSE,FALSE,FALSE,FALSE,1,FALSE,7,10,TRUE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,"Interested but concerned"
2020-08-18 13:36:55,2020-08-18 13:47:37,0,NA,100,642,1,2020-08-18 13:47:38,"R_28HdTYqb4aHbxaT",NA,NA,NA,NA,NA,NA,"anonymous","EN","Accept","Yes","Yes","Able_K",FALSE,TRUE,FALSE,FALSE,FALSE,3,4,1,2,5,"Almost every day","1-3 days per week","1-3 days per week","Less than once a month","Less than once a month","Almost every day","Almost every day","Less than once a month","1-3 days per month","Almost every day","Never","Never","Sometimes","No","No","Yes_Prefer","No","2","Right","Left","1","Right","Left","1","Right","Left","2","Left","Right","1","Left","Right","2","Right","Left",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat comfortable","Very comfortable","Somewhat comfortable","Very comfortable","Very comfortable","Somewhat comfortable","TravelLane","Center","Very comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Center",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"In the last year","In the last month","Strongly agree",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"More enjoyable than any other mode",3,2,1,6,5,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"COVID-19 has made bikeshare more difficult",8,4,7,5,6,3,2,1,9,10,"Very comfortable","Somewhat comfortable","Very comfortable","Very uncomfortable","Somewhat uncomfortable","Somewhat comfortable","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly disagree",10,100,NA,"DC","20001","150_999","2","1","1","0","35_44","Male",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"MastUp","No","Yes",NA,"Yes",NA,TRUE,FALSE,FALSE,6,5,4,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,6,FALSE,12,FALSE,5,FALSE,FALSE,4,3,FALSE,8,FALSE,FALSE,FALSE,FALSE,1,FALSE,7,10,FALSE,TRUE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,"Interested but concerned"
2020-08-18 14:37:58,2020-08-18 14:55:05,0,NA,100,1026,1,2020-08-18 14:55:05,"R_2cAPKcHuUHKC8Sq",NA,NA,NA,NA,NA,NA,"anonymous","EN","Accept","Yes","Yes","Able_K",FALSE,TRUE,FALSE,FALSE,FALSE,1,3,2,4,5,"4-6 days per week","Less than once a month","4-6 days per week","1-3 days per week","Less than once a month","4-6 days per week","1-3 days per month","4-6 days per week","1-3 days per week","Less than once a month","Never","Never","Sometimes","No","Yes_Avoid","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Right","Left","2","Right","Left","1","Right","Left","2","Left","Right","1","Right","Left","1","Left","Right","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat uncomfortable","Somewhat uncomfortable","TravelLane","Center","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Center",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"In the last month","In the last month","Strongly agree",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,4,6,1,5,3,2,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,9,3,2,4,5,1,6,8,7,10,"Very comfortable","Somewhat comfortable","Very comfortable","Somewhat uncomfortable","Somewhat comfortable","Very comfortable","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree",100,100,NA,"OH","43202","075_099","3","1","0","1","35_44","Female",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"MastUp","No","Yes",NA,"Yes",NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,2,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,12,FALSE,6,FALSE,FALSE,5,3,FALSE,9,TRUE,FALSE,FALSE,FALSE,1,FALSE,8,10,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,"Interested but concerned"
